ID	Gene Name	Species	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
YMR016C	Sok2p(SOK2)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006530~asparagine catabolic process,GO:0007124~pseudohyphal growth,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005829~cytosol,	GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0004067~asparaginase activity,GO:0043565~sequence-specific DNA binding,	IPR003163:Transcription regulator HTH, APSES-type DNA-binding domain,IPR018004:KilA, N-terminal/APSES-type HTH, DNA-binding,	sce04113:Meiosis - yeast,	SM01252:SM01252,	Complete proteome,DNA-binding,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,	chain:Protein SOK2,compositionally biased region:Poly-Gln,compositionally biased region:Poly-Ser,compositionally biased region:Poly-Tyr,DNA-binding region:H-T-H motif,domain:HTH APSES-type,modified residue,
YKL020C	Spt23p(SPT23)	Saccharomyces cerevisiae S288C		GO:0030466~chromatin silencing at silent mating-type cassette,GO:0036083~positive regulation of unsaturated fatty acid biosynthetic process by positive regulation of transcription from RNA polymerase II promoter,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0070417~cellular response to cold,	GO:0005634~nucleus,GO:0005783~endoplasmic reticulum,GO:0030176~integral component of endoplasmic reticulum membrane,	GO:0003677~DNA binding,	IPR002110:Ankyrin repeat,IPR002909:Cell surface receptor IPT/TIG,IPR013783:Immunoglobulin-like fold,IPR014756:Immunoglobulin E-set,IPR020683:Ankyrin repeat-containing domain,		SM00248:ANK,SM00429:IPT,	ANK repeat,Complete proteome,Phosphoprotein,Reference proteome,Repeat,	chain:Protein SPT23,domain:IPT/TIG,modified residue,repeat:ANK 1,repeat:ANK 2,sequence conflict,
YHR178W	Stb5p(STB5)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0009410~response to xenobiotic stimulus,GO:0043619~regulation of transcription from RNA polymerase II promoter in response to oxidative stress,	GO:0005634~nucleus,	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR001138:Zn(2)-C6 fungal-type DNA-binding domain,IPR007219:Transcription factor, fungi,		SM00066:GAL4,SM00906:SM00906,	Complete proteome,DNA-binding,Metal-binding,Nucleus,Reference proteome,Transcription,Transcription regulation,Zinc,	chain:Protein STB5,DNA-binding region:Zn(2)-C6 fungal-type,modified residue,
YDR310C	Sum1p(SUM1)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007070~negative regulation of transcription from RNA polymerase II promoter during mitosis,GO:0010944~negative regulation of transcription by competitive promoter binding,GO:0030435~sporulation resulting in formation of a cellular spore,GO:0030466~chromatin silencing at silent mating-type cassette,GO:0032298~positive regulation of DNA-dependent DNA replication initiation,	GO:0005634~nucleus,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0003688~DNA replication origin binding,GO:0043565~sequence-specific DNA binding,		sce04113:Meiosis - yeast,		Acetylation,Complete proteome,DNA-binding,Nucleus,Phosphoprotein,Reference proteome,Repressor,Sporulation,Transcription,Transcription regulation,	chain:Suppressor of mar1-1 protein,compositionally biased region:Poly-Ala,compositionally biased region:Poly-Asn,modified residue,mutagenesis site,sequence conflict,
YBR083W	Tec1p(TEC1)	Saccharomyces cerevisiae S288C		GO:0001300~chronological cell aging,GO:0001403~invasive growth in response to glucose limitation,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0007124~pseudohyphal growth,GO:0010527~positive regulation of transposition, RNA-mediated,GO:0036003~positive regulation of transcription from RNA polymerase II promoter in response to stress,GO:2000222~positive regulation of pseudohyphal growth,	GO:0005634~nucleus,GO:1990527~Tec1p-Ste12p-Dig1p complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001135~transcription factor activity, RNA polymerase II transcription factor recruiting,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR000818:TEA/ATTS,	sce04011:MAPK signaling pathway - yeast,	SM00426:TEA,	Acetylation,Activator,Complete proteome,DNA-binding,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,	chain:Ty transcription activator TEC1,DNA-binding region:TEA,modified residue,
YIR018W	Yap5p(YAP5)	Saccharomyces cerevisiae S288C		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0010723~positive regulation of transcription from RNA polymerase II promoter in response to iron,GO:0031939~negative regulation of chromatin silencing at telomere,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0000790~nuclear chromatin,GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR004827:Basic-leucine zipper domain,		SM00338:BRLZ,	Activator,Complete proteome,Cytoplasm,DNA-binding,Nucleus,Reference proteome,Transcription,Transcription regulation,	chain:AP-1-like transcription factor YAP5,DNA-binding region:Basic motif,domain:Leucine-zipper,sequence conflict,
YDR259C	Yap6p(YAP6)	Saccharomyces cerevisiae S288C	Cell division and chromosome partitioning,	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001010~transcription factor activity, sequence-specific DNA binding transcription factor recruiting,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR004827:Basic-leucine zipper domain,		SM00338:BRLZ,	Activator,Complete proteome,DNA-binding,Nucleus,Reference proteome,Transcription,Transcription regulation,	chain:AP-1-like transcription factor YAP6,compositionally biased region:Asn-rich,DNA-binding region:Basic motif,domain:Leucine-zipper,
YOL028C	Yap7p(YAP7)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,	GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR004827:Basic-leucine zipper domain,IPR018287:Hap4 transcription factor, heteromerisation domain,		SM00338:BRLZ,	Activator,Complete proteome,DNA-binding,Nucleus,Reference proteome,Transcription,Transcription regulation,	chain:AP-1-like transcription factor YAP7,DNA-binding region:Basic motif,domain:Leucine-zipper,
YOR162C	Yrr1p(YRR1)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0043619~regulation of transcription from RNA polymerase II promoter in response to oxidative stress,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR001138:Zn(2)-C6 fungal-type DNA-binding domain,		SM00066:GAL4,	Activator,Complete proteome,Cytoplasm,DNA-binding,Metal-binding,Nucleus,Reference proteome,Transcription,Transcription regulation,Zinc,	chain:Zinc finger transcription factor YRR1,DNA-binding region:Zn(2)-C6 fungal-type,modified residue,
YHL027W	alkaline-responsive transcriptional regulator RIM101(RIM101)	Saccharomyces cerevisiae S288C		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0000917~barrier septum assembly,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007126~meiotic nuclear division,GO:0009272~fungal-type cell wall biogenesis,GO:0030437~ascospore formation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0051321~meiotic cell cycle,GO:0071454~cellular response to anoxia,GO:0071469~cellular response to alkaline pH,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003676~nucleic acid binding,GO:0003677~DNA binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR007087:Zinc finger, C2H2,IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain,IPR015880:Zinc finger, C2H2-like,		SM00355:ZnF_C2H2,	Activator,Complete proteome,Cytoplasm,DNA-binding,Meiosis,Metal-binding,Nucleus,Reference proteome,Repeat,Repressor,Transcription,Transcription regulation,Zinc,Zinc-finger,	chain:pH-response transcription factor pacC/RIM101,compositionally biased region:Asp/Glu-rich (acidic),compositionally biased region:Poly-Asp,compositionally biased region:Ser-rich,modified residue,mutagenesis site,sequence conflict,short sequence motif:Nuclear localization signal,short sequence motif:YPX[LI] motif 1,short sequence motif:YPX[LI] motif 2,zinc finger region:C2H2-type 1,zinc finger region:C2H2-type 2,zinc finger region:C2H2-type 3,
YEL009C	amino acid starvation-responsive transcription factor GCN4(GCN4)	Saccharomyces cerevisiae S288C		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001080~nitrogen catabolite activation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0008652~cellular amino acid biosynthetic process,GO:0010691~negative regulation of ribosomal protein gene transcription from RNA polymerase II promoter in response to nutrient levels,GO:0045899~positive regulation of RNA polymerase II transcriptional preinitiation complex assembly,GO:0060261~positive regulation of transcription initiation from RNA polymerase II promoter,GO:1903833~positive regulation of cellular response to amino acid starvation,	GO:0000790~nuclear chromatin,GO:0005634~nucleus,GO:0005667~transcription factor complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001084~transcription factor activity, TFIID-class binding,GO:0001135~transcription factor activity, RNA polymerase II transcription factor recruiting,GO:0001190~transcriptional activator activity, RNA polymerase II transcription factor binding,GO:0001191~transcriptional repressor activity, RNA polymerase II transcription factor binding,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR004827:Basic-leucine zipper domain,		SM00338:BRLZ,	3D-structure,Activator,Amino-acid biosynthesis,Complete proteome,DNA-binding,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,	chain:General control protein GCN4,DNA-binding region:Basic motif,domain:Leucine-zipper,helix,modified residue,mutagenesis site,region of interest:Required for transcriptional activation,sequence conflict,sequence variant,
YCR084C	chromatin-silencing transcriptional regulator TUP1(TUP1)	Saccharomyces cerevisiae S288C		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0000433~negative regulation of transcription from RNA polymerase II promoter by glucose,GO:0001198~negative regulation of mating-type specific transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007070~negative regulation of transcription from RNA polymerase II promoter during mitosis,GO:0016584~nucleosome positioning,GO:0035955~negative regulation of dipeptide transport by negative regulation of transcription from RNA polymerase II promoter,GO:0043486~histone exchange,GO:2000217~regulation of invasive growth in response to glucose limitation,GO:2000531~regulation of fatty acid biosynthetic process by regulation of transcription from RNA polymerase II promoter,GO:2001020~regulation of response to DNA damage stimulus,	GO:0000123~histone acetyltransferase complex,GO:0005634~nucleus,GO:0008023~transcription elongation factor complex,GO:0017053~transcriptional repressor complex,GO:0033588~Elongator holoenzyme complex,	GO:0001191~transcriptional repressor activity, RNA polymerase II transcription factor binding,GO:0036033~mediator complex binding,GO:0042393~histone binding,GO:0042826~histone deacetylase binding,GO:0080025~phosphatidylinositol-3,5-bisphosphate binding,	IPR001680:WD40 repeat,IPR013890:Transcriptional repressor Tup1, N-terminal,IPR015943:WD40/YVTN repeat-like-containing domain,IPR017986:WD40-repeat-containing domain,IPR019775:WD40 repeat, conserved site,IPR020472:G-protein beta WD-40 repeat,	sce04111:Cell cycle - yeast,	SM00320:WD40,	3D-structure,Complete proteome,Nucleus,Phosphoprotein,Reference proteome,Repeat,Repressor,Transcription,Transcription regulation,WD repeat,	chain:General transcriptional corepressor TUP1,compositionally biased region:Gln-rich,compositionally biased region:Poly-Gln,compositionally biased region:Thr-rich,helix,modified residue,repeat:WD 1,repeat:WD 2,repeat:WD 3,repeat:WD 4,repeat:WD 5,repeat:WD 6,repeat:WD 7,sequence conflict,strand,turn,
YIL131C	forkhead family transcription factor FKH1(FKH1)	Saccharomyces cerevisiae S288C	Transcription,	GO:0006338~chromatin remodeling,GO:0006355~regulation of transcription, DNA-templated,GO:0006369~termination of RNA polymerase II transcription,GO:0007535~donor selection,GO:0031124~mRNA 3'-end processing,GO:0032298~positive regulation of DNA-dependent DNA replication initiation,GO:0034244~negative regulation of transcription elongation from RNA polymerase II promoter,GO:0071406~cellular response to methylmercury,GO:0071930~negative regulation of transcription involved in G1/S transition of mitotic cell cycle,GO:0090055~positive regulation of chromatin silencing at silent mating-type cassette,GO:0090282~positive regulation of transcription involved in G2/M transition of mitotic cell cycle,GO:0090419~negative regulation of transcription involved in G2/M transition of mitotic cell cycle,GO:1903468~positive regulation of DNA replication initiation,GO:2000221~negative regulation of pseudohyphal growth,	GO:0005634~nucleus,GO:0005829~cytosol,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003688~DNA replication origin binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0019237~centromeric DNA binding,GO:0043565~sequence-specific DNA binding,	IPR000253:Forkhead-associated (FHA) domain,IPR001766:Transcription factor, fork head,IPR008984:SMAD/FHA domain,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR018122:Transcription factor, fork head, conserved site,		SM00240:FHA,SM00339:FH,	Complete proteome,DNA-binding,Nucleus,Reference proteome,	chain:Fork head protein homolog 1,DNA-binding region:Fork-head,domain:FHA,
YNL068C	forkhead family transcription factor FKH2(FKH2)	Saccharomyces cerevisiae S288C	Transcription,	GO:0006338~chromatin remodeling,GO:0006355~regulation of transcription, DNA-templated,GO:0032298~positive regulation of DNA-dependent DNA replication initiation,GO:0032968~positive regulation of transcription elongation from RNA polymerase II promoter,GO:0061186~negative regulation of chromatin silencing at silent mating-type cassette,GO:0071930~negative regulation of transcription involved in G1/S transition of mitotic cell cycle,GO:0090282~positive regulation of transcription involved in G2/M transition of mitotic cell cycle,GO:0090419~negative regulation of transcription involved in G2/M transition of mitotic cell cycle,GO:1903468~positive regulation of DNA replication initiation,GO:2000221~negative regulation of pseudohyphal growth,	GO:0005634~nucleus,GO:0005829~cytosol,	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001076~transcription factor activity, RNA polymerase II transcription factor binding,GO:0001085~RNA polymerase II transcription factor binding,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003688~DNA replication origin binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR000253:Forkhead-associated (FHA) domain,IPR001766:Transcription factor, fork head,IPR008984:SMAD/FHA domain,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR018122:Transcription factor, fork head, conserved site,		SM00240:FHA,SM00339:FH,	Complete proteome,DNA-binding,Nucleus,Phosphoprotein,Reference proteome,	chain:Fork head protein homolog 2,DNA-binding region:Fork-head,domain:FHA,modified residue,
YHR084W	homeodomain family transcription factor STE12(STE12)	Saccharomyces cerevisiae S288C		GO:0000747~conjugation with cellular fusion,GO:0001403~invasive growth in response to glucose limitation,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007124~pseudohyphal growth,GO:0007329~positive regulation of transcription from RNA polymerase II promoter by pheromones,GO:0019236~response to pheromone,GO:0046020~negative regulation of transcription from RNA polymerase II promoter by pheromones,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:1990526~Ste12p-Dig1p-Dig2p complex,GO:1990527~Tec1p-Ste12p-Dig1p complex,	GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR003120:Transcription factor, STE-like,	sce04011:MAPK signaling pathway - yeast,	SM00424:STE,	3D-structure,Activator,Complete proteome,DNA-binding,Nucleus,Pheromone response,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,	chain:Protein STE12,modified residue,
YHR206W	kinase-regulated stress-responsive transcription factor SKN7(SKN7)	Saccharomyces cerevisiae S288C		GO:0000160~phosphorelay signal transduction system,GO:0000304~response to singlet oxygen,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006970~response to osmotic stress,GO:0008361~regulation of cell size,GO:0043619~regulation of transcription from RNA polymerase II promoter in response to oxidative stress,GO:1900101~regulation of endoplasmic reticulum unfolded protein response,	GO:0005634~nucleus,GO:0005829~cytosol,	GO:0000156~phosphorelay response regulator activity,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR000232:Heat shock factor (HSF)-type, DNA-binding,IPR001789:Signal transduction response regulator, receiver domain,IPR011006:CheY-like superfamily,IPR011991:Winged helix-turn-helix DNA-binding domain,		SM00415:HSF,SM00448:REC,	Complete proteome,DNA-binding,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,Two-component regulatory system,	chain:Transcription factor SKN7,domain:Response regulatory,modified residue,mutagenesis site,
YLR451W	leucine-responsive transcriptional regulator LEU3(LEU3)	Saccharomyces cerevisiae S288C		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0008652~cellular amino acid biosynthetic process,GO:0009082~branched-chain amino acid biosynthetic process,GO:0009098~leucine biosynthetic process,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:2001278~positive regulation of leucine biosynthetic process,	GO:0005634~nucleus,	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR001138:Zn(2)-C6 fungal-type DNA-binding domain,		SM00066:GAL4,	3D-structure,Activator,Amino-acid biosynthesis,Branched-chain amino acid biosynthesis,Complete proteome,DNA-binding,Leucine biosynthesis,Metal-binding,Nucleus,Reference proteome,Transcription,Transcription regulation,Zinc,	chain:Regulatory protein LEU3,compositionally biased region:Asp/Glu-rich (acidic),DNA-binding region:Zn(2)-C6 fungal-type,helix,modified residue,sequence conflict,
YER040W	nitrogen-responsive transcriptional regulator GLN3(GLN3)	Saccharomyces cerevisiae S288C	Transcription,	GO:0001080~nitrogen catabolite activation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0030154~cell differentiation,GO:0042128~nitrate assimilation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005667~transcription factor complex,GO:0005829~cytosol,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001085~RNA polymerase II transcription factor binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR000679:Zinc finger, GATA-type,IPR013088:Zinc finger, NHR/GATA-type,		SM00401:ZnF_GATA,	Activator,Complete proteome,DNA-binding,Metal-binding,Nitrate assimilation,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,Zinc,Zinc-finger,	chain:Nitrogen regulatory protein GLN3,compositionally biased region:Arg/Lys-rich (basic),modified residue,sequence conflict,zinc finger region:GATA-type,
YAL051W	oleate-activated transcription factor OAF1(OAF1)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0030435~sporulation resulting in formation of a cellular spore,GO:0031940~positive regulation of chromatin silencing at telomere,GO:0032000~positive regulation of fatty acid beta-oxidation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0061429~positive regulation of transcription from RNA polymerase II promoter by oleic acid,	GO:0005634~nucleus,GO:0089716~Pip2-Oaf1 complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR001138:Zn(2)-C6 fungal-type DNA-binding domain,IPR002409:Aflatoxin biosynthesis regulatory protein,		SM00066:GAL4,	Complete proteome,Direct protein sequencing,DNA-binding,Metal-binding,Nucleus,Phosphoprotein,Reference proteome,Sporulation,Transcription,Transcription regulation,Zinc,	chain:Oleate-activated transcription factor 1,DNA-binding region:Zn(2)-C6 fungal-type,modified residue,
YOR363C	oleate-activated transcription factor PIP2(PIP2)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0032000~positive regulation of fatty acid beta-oxidation,GO:0061429~positive regulation of transcription from RNA polymerase II promoter by oleic acid,	GO:0005634~nucleus,GO:0016021~integral component of membrane,GO:0089716~Pip2-Oaf1 complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0008270~zinc ion binding,GO:0046872~metal ion binding,	IPR001138:Zn(2)-C6 fungal-type DNA-binding domain,IPR002409:Aflatoxin biosynthesis regulatory protein,		SM00066:GAL4,	Activator,Complete proteome,DNA-binding,Metal-binding,Nucleus,Reference proteome,Transcription,Transcription regulation,Zinc,	chain:Peroxisome proliferation transcriptional regulator,DNA-binding region:Zn(2)-C6 fungal-type,
YFR034C	phosphate-sensing transcription factor PHO4(PHO4)	Saccharomyces cerevisiae S288C		GO:0006338~chromatin remodeling,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0016036~cellular response to phosphate starvation,GO:0045937~positive regulation of phosphate metabolic process,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,GO:0046983~protein dimerization activity,	IPR011598:Myc-type, basic helix-loop-helix (bHLH) domain,	sce04111:Cell cycle - yeast,	SM00353:HLH,	3D-structure,Activator,Complete proteome,Cytoplasm,DNA-binding,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,	chain:Phosphate system positive regulatory protein PHO4,DNA-binding region:Basic motif,domain:Helix-loop-helix motif,helix,modified residue,region of interest:Interaction with PHO2,region of interest:Interaction with PHO80,region of interest:Involved in oligomerization,region of interest:Transcription activation domain,sequence conflict,short sequence motif:Nuclear localization signal,
YER109C	pseudo(FLO8)	Saccharomyces cerevisiae S288C		GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0035957~positive regulation of starch catabolic process by positive regulation of transcription from RNA polymerase II promoter,GO:0036095~positive regulation of invasive growth in response to glucose limitation by positive regulation of transcription from RNA polymerase II promoter,GO:1900189~positive regulation of cell adhesion involved in single-species biofilm formation,GO:1900461~positive regulation of pseudohyphal growth by positive regulation of transcription from RNA polymerase II promoter,GO:1900524~positive regulation of flocculation via cell wall protein-carbohydrate interaction by positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,	IPR006594:LisH dimerisation motif,		SM00667:LisH,	Activator,Complete proteome,Nucleus,Reference proteome,Transcription,Transcription regulation,	chain:Transcriptional activator FLO8,compositionally biased region:Poly-Gln,domain:LisH,sequence variant,
YGL073W	stress-responsive transcription factor HSF1(HSF1)	Saccharomyces cerevisiae S288C	Transcription,	GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0009408~response to heat,GO:0032007~negative regulation of TOR signaling,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0070202~regulation of establishment of protein localization to chromosome,	GO:0005634~nucleus,GO:0005739~mitochondrion,	GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,	IPR000232:Heat shock factor (HSF)-type, DNA-binding,IPR011991:Winged helix-turn-helix DNA-binding domain,		SM00415:HSF,	Acetylation,Activator,Complete proteome,Direct protein sequencing,DNA-binding,Nucleus,Phosphoprotein,Reference proteome,Stress response,Transcription,Transcription regulation,	chain:Heat shock factor protein,modified residue,region of interest:Involved in trimerization,sequence conflict,
